Series_reference,Period,Data_value,name,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4
BDCQ.SF2DD1CA,2019.03,3505.597,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2019.06,3359.512,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2019.09,3635.558,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2019.12,3139.026,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2020.03,2963.378,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2020.06,3273.143,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2020.09,3756.528,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2020.12,3287.998,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2021.03,3979.464,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2021.06,5148.809,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2021.09,4046.695,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2021.12,3090.461,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2022.03,3876.671,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2022.06,4563.766,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2022.09,3488.021,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2022.12,3207.461,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2023.03,3854.058,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2023.06,3619.716,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2023.09,4304.837,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2023.12,4207.164,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2024.03,4537.82,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2024.06,5818.713,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2024.09,6393.201,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2024.12,3537.017,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DDCA,2016.06,2711.405,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
